subgraph,freq,n_atoms,examples
c1:c:c:c:c:c:1,0.78106,6,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1
C-c1:c:c:c:c:c:1,0.55532,7,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;Cc1nc2sccn2c1C(C)NCc1ccc(C(C)C)cc1
c:c:c:c:c-C,0.46372,6,Cc1ncc(Cl)c(N)c1Cl;Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;Cc1nc2sccn2c1C(C)NCc1ccc(C(C)C)cc1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1
c:c:c:c(:c)-C,0.45738,6,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;Cc1nc2sccn2c1C(C)NCc1ccc(C(C)C)cc1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1
c:c:c(-C):c:c,0.43538,6,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;Cc1nc2sccn2c1C(C)NCc1ccc(C(C)C)cc1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;CCn1cnnc1SC(C)C(=O)NCc1ccc(Cl)cc1
c:c:c:c-C-N,0.38632,6,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;Cc1nc2sccn2c1C(C)NCc1ccc(C(C)C)cc1
c:c:c(:c)-C-N,0.34306,6,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;Cc1nc2sccn2c1C(C)NCc1ccc(C(C)C)cc1
c:c:c:c:c-C-N,0.31574,7,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;Cc1nc2sccn2c1C(C)NCc1ccc(C(C)C)cc1
c:c:c:c(:c)-C-N,0.31526,7,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;Cc1nc2sccn2c1C(C)NCc1ccc(C(C)C)cc1
c:c:c:c:c-N,0.3106,6,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;CC(C)(C)c1cnc(CN2CCN(c3ccc(C#N)cn3)CC2)o1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2
c:c-C-N-C-C,0.30174,6,CCc1nc(CN2CCCC(c3noc(C4CC4)n3)C2)cs1;Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;Cc1nc2sccn2c1C(C)NCc1ccc(C(C)C)cc1
c:c:c:c(:c)-N,0.29306,6,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
C-C-C-N-C=O,0.29006,6,CC(C)(O)C(=O)N1CCCC(O)(C(F)(F)F)CC1;CC1(O)CCCN(C(=O)COCC(F)(F)F)CC1;CCCn1nccc1C(=O)N1CCC2(CCN(C)CC2)C1;Cc1cnn(CC2CCCCN2C(=O)CC(C)n2nc(C)cc2C)c1;O=C(c1ncc[nH]1)N1CCC(c2n[nH]c(=O)o2)CC1
c:c:c:c-C=O,0.28766,6,O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1
c:c:c-C-N-C,0.28482,6,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;Cc1nc2sccn2c1C(C)NCc1ccc(C(C)C)cc1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1
c:c:c(-N):c:c,0.28226,6,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1ncc(Cl)c(N)c1Cl;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2
N-C-c1:c:c:c:c:c:1,0.28072,8,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;Cc1nc2sccn2c1C(C)NCc1ccc(C(C)C)cc1
N-c1:c:c:c:c:c:1,0.27664,7,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
C-c:c:c:c:c,0.27116,6,O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1
